,Group,Name,MAE,MAE-STD,RMSE,RMSE-STD
0,Data-Only,rf,50.22601243362832,5.597392457831007,64.2618370456536,7.745109539167065
1,Data-Only,knn,54.29317097345133,7.101577101962183,70.06766314958135,9.589126969103102
2,Data-Only,mlp,67.1932239400408,6.989334571192945,84.84926922321533,10.469952422997302
3,Data-Only,lr,51.60846111053205,7.951703303035091,65.72805448765997,9.805189238454702
4,Data-Only,lr-basic,51.060679764934,7.85831408811084,65.5186997557372,10.653795152332894
5,Data-Only,std,52.08219203539822,8.320489977409494,65.9895003312738,10.681711516831765
6,Data-Only,lmm,118.4124869335935,35.8284450162021,141.47515436799478,42.81040646490591
7,Data-Only,lr-surp,1512.525008184312,239.35111316855895,1593.2459887106627,249.92986289739417
8,Full_Results,XLNet/MLP,62.94255959229596,8.047884150410303,80.32577578603492,10.350496292216707
9,Full_Results,XLNet,62.76367532856358,6.646908329003802,81.04529509866526,8.595416050682834
10,Full_Results,roBERTa/MLP,66.14537965714446,6.914006060734267,83.45099578679921,10.532399485379466
11,Full_Results,roBERTa,66.26995461306952,9.113067807831502,83.16639257186796,13.915314791967804
12,Full_Results,ELMo/MLP,66.44342941840517,9.364293292074223,83.1731759286176,13.697828568365555
13,Full_Results,ELMo,66.66033705222881,8.550637458660846,84.30314111328279,13.142621430706791
