,Group,Name,MAE,MAE-STD,RMSE,RMSE-STD
0,Data-Only,rf,50.22601243362832,5.597392457831007,64.2618370456536,7.745109539167065
1,Data-Only,knn,54.29317097345133,7.101577101962183,70.06766314958135,9.589126969103102
2,Data-Only,mlp,67.1932239400408,6.989334571192945,84.84926922321533,10.469952422997302
3,Data-Only,lr,51.60846111053205,7.951703303035091,65.72805448765997,9.805189238454702
4,Data-Only,lr-basic,51.060679764934,7.85831408811084,65.5186997557372,10.653795152332894
5,Data-Only,std,52.08219203539822,8.320489977409494,65.9895003312738,10.681711516831765
6,Data-Only,lmm,118.4124869335935,35.8284450162021,141.47515436799478,42.81040646490591
7,Data-Only,lr-surp,1512.525008184312,239.35111316855895,1593.2459887106627,249.92986289739417
8,Full_Results,XLNet/MLP,67.38298343657098,9.396718220633984,85.26286131305243,12.05123732627251
9,Full_Results,XLNet,64.9371397688874,8.909224632808195,82.5094517211351,12.01973975106924
10,Full_Results,roBERTa/MLP,64.99774449732958,4.747511952167988,82.35927404617291,8.448828561986353
11,Full_Results,roBERTa,64.55231952336405,7.383833874548677,81.26783365589174,11.619585617249834
12,Full_Results,ELMo/MLP,67.6431091325878,8.735534326983505,84.82219038773556,11.693777628409283
13,Full_Results,ELMo,65.04229132868674,8.21188160027456,82.73255499051723,12.701093324822855
