Age,Browser,Click_Count,Duration_Entire_Survey,Education,Familiarity,Font_Size,Font_Type,Freq,Gender,Location_Latitude,Location_Longitude,Num_Words,Operating_System,Reading_Speed,Reading_Time,Screen_Resolution,Survey_Num,SylPerWord,WordsPerSent
25,Chrome,12,274,4,3,0,0,0.15339573149999997,2,42.07710266,-76.01180267,632,Android 8.0.0,3,197.977,360x720,10,1.5419161676646707,23.03448275862069
22,Safari iPhone,145,356,1,3,0,0,0.15339573149999997,1,39.42340088,-76.77619934,632,iPhone,4,264.974,414x736,10,1.5419161676646707,23.03448275862069
41,Chrome iPad,10,218,5,2,0,0,0.15339573149999997,2,29.61549377,-90.44419861,632,iPad,3,137.776,1024x1366,10,1.5419161676646707,23.03448275862069
27,Chrome,4,259,5,3,0,0,0.15339573149999997,1,33.97329712,-84.22309875,632,Windows NT 10.0,3,204.12599999999998,1920x1080,10,1.5419161676646707,23.03448275862069
24,Chrome,28,204,5,2,0,0,0.15339573149999997,1,38.00999451,-121.36979679999999,632,Windows NT 10.0,4,165.795,1600x900,10,1.5419161676646707,23.03448275862069
27,Chrome,2,130,3,3,0,0,0.15339573149999997,1,34.10600281,-118.36070249999999,632,Macintosh,4,81.431,1440x900,10,1.5419161676646707,23.03448275862069
22,Chrome,0,248,3,3,0,0,0.15339573149999997,2,37.980896,-121.31100459999999,632,Macintosh,3,175.12099999999998,1440x900,10,1.5419161676646707,23.03448275862069
27,Chrome,0,160,7,4,0,0,0.15339573149999997,1,40.65649414,-74.22149658,632,Windows NT 10.0,4,94.624,1600x900,10,1.5419161676646707,23.03448275862069
31,Chrome,0,246,6,4,0,0,0.15339573149999997,1,33.76699829,-118.1892014,632,Windows NT 6.1,4,176.697,1280x1024,10,1.5419161676646707,23.03448275862069
23,Safari iPhone,13,215,3,3,0,0,0.15339573149999997,1,50.51060486,10.31869507,632,iPhone,3,155.149,375x667,10,1.5419161676646707,23.03448275862069
21,Chrome,0,151,3,3,0,0,0.15339573149999997,2,35.8973999,-83.94249725,632,Windows NT 10.0,3,103.104,1536x864,10,1.5419161676646707,23.03448275862069
29,Chrome,0,210,5,2,0,0,0.15339573149999997,1,46.85510254,-92.00740051,632,Windows NT 10.0,4,140.356,1536x864,10,1.5419161676646707,23.03448275862069
